A,OTH,TOTAL,TOTAL,PER,BE	22438 
A,OTH,TOTAL,TOTAL,PER,BG	4443 
A,OTH,TOTAL,TOTAL,PER,CH	3017 
A,OTH,TOTAL,TOTAL,PER,CY	6446 
A,OTH,TOTAL,TOTAL,PER,CZ	7848 
A,OTH,TOTAL,TOTAL,PER,DE	237204 
A,OTH,TOTAL,TOTAL,PER,DK	3675 
A,OTH,TOTAL,TOTAL,PER,EE	4107 
A,OTH,TOTAL,TOTAL,PER,EL	41041 
A,OTH,TOTAL,TOTAL,PER,ES	98793 
A,OTH,TOTAL,TOTAL,PER,EU27_2020	985144 
A,OTH,TOTAL,TOTAL,PER,FI	3739 
A,OTH,TOTAL,TOTAL,PER,FR	74997 
A,OTH,TOTAL,TOTAL,PER,HR	968 
A,OTH,TOTAL,TOTAL,PER,HU	4289 
A,OTH,TOTAL,TOTAL,PER,IE	20369 u
A,OTH,TOTAL,TOTAL,PER,IS	865 
A,OTH,TOTAL,TOTAL,PER,IT	187754 
A,OTH,TOTAL,TOTAL,PER,LI	89 
A,OTH,TOTAL,TOTAL,PER,LT	2086 
A,OTH,TOTAL,TOTAL,PER,LU	1173 
A,OTH,TOTAL,TOTAL,PER,LV	863 
A,OTH,TOTAL,TOTAL,PER,MT	3685 
A,OTH,TOTAL,TOTAL,PER,NL	36085 
A,OTH,TOTAL,TOTAL,PER,NO	4855 
A,OTH,TOTAL,TOTAL,PER,PL	165442 
A,OTH,TOTAL,TOTAL,PER,PT	12251 
A,OTH,TOTAL,TOTAL,PER,RO	2039 
A,OTH,TOTAL,TOTAL,PER,SE	11045 
A,OTH,TOTAL,TOTAL,PER,SI	263 
A,OTH,TOTAL,TOTAL,PER,SK	808 
A,TOTAL,TOTAL,TOTAL,PER,AT	62890 
A,TOTAL,TOTAL,TOTAL,PER,BE	74366 
A,TOTAL,TOTAL,TOTAL,PER,BG	19375 
A,TOTAL,TOTAL,TOTAL,PER,CH	50680 
A,TOTAL,TOTAL,TOTAL,PER,CY	34694 
A,TOTAL,TOTAL,TOTAL,PER,CZ	43792 
A,TOTAL,TOTAL,TOTAL,PER,DE	662888 
A,TOTAL,TOTAL,TOTAL,PER,DK	42805 
A,TOTAL,TOTAL,TOTAL,PER,EE	8459 
A,TOTAL,TOTAL,TOTAL,PER,EL	70921 
A,TOTAL,TOTAL,TOTAL,PER,ES	548697 b
A,TOTAL,TOTAL,TOTAL,PER,EU27_2020	3821562 
A,TOTAL,TOTAL,TOTAL,PER,FI	54178 
A,TOTAL,TOTAL,TOTAL,PER,FR	338877 
A,TOTAL,TOTAL,TOTAL,PER,HR	81347 
A,TOTAL,TOTAL,TOTAL,PER,HU	77479 
A,TOTAL,TOTAL,TOTAL,PER,IE	88595 u
A,TOTAL,TOTAL,TOTAL,PER,IS	3567 
A,TOTAL,TOTAL,TOTAL,PER,IT	389542 
A,TOTAL,TOTAL,TOTAL,PER,LI	902 
A,TOTAL,TOTAL,TOTAL,PER,LT	56073 
A,TOTAL,TOTAL,TOTAL,PER,LU	9740 
A,TOTAL,TOTAL,TOTAL,PER,LV	10193 
A,TOTAL,TOTAL,TOTAL,PER,MT	41927 
A,TOTAL,TOTAL,TOTAL,PER,NL	131785 
A,TOTAL,TOTAL,TOTAL,PER,NO	28598 
A,TOTAL,TOTAL,TOTAL,PER,PL	642789 
A,TOTAL,TOTAL,TOTAL,PER,PT	135907 
A,TOTAL,TOTAL,TOTAL,PER,RO	56920 
A,TOTAL,TOTAL,TOTAL,PER,SE	76718 
A,TOTAL,TOTAL,TOTAL,PER,SI	31855 
A,TOTAL,TOTAL,TOTAL,PER,SK	28750 
